ISIN;PAYS_RISQUE;CATEG_ISSUER;RATING;NIV_SENIORITE;ISSUER;NIV_SUBORDINATION;CATEGORIE_1;CATEGORIE_2;CATEGORIE_3;MATURITE;MATURITE_CALL;NAME;CPN;FRQ;ISSUER_DATE;INDICE;DATE_ACHAT;YIELD_ACHAT;SUB_DATE_RBST;SUBORD;BASE_INDICE;FLOATER;MONETAIRE
XS0920218079;Autre;Finance;6;;SBAB BANK AB;;poche_obligations;Obligations_credit;Obligations_credit;02/05/2018;02/05/2018;SBAB 1 3/8 05/02/18;1.375;1;02/05/2014;;25/08/2014;1;02/05/2018;;0;0;0
XS1181873776;Autre;Corporate;7;;BAO-TRANS ENTERPRISE;;poche_obligations;Obligations_credit;Obligations_credit;23/02/2018;23/02/2018;SBSG 1 5/8 02/23/18;1.625;1;23/02/2016;;25/08/2014;1;23/02/2018;;0;0;0
XS0630382538;Autre;Corporate;7;;SVENSKA CELLULOSA;;poche_obligations;Obligations_credit;Obligations_credit;26/08/2016;26/08/2016;SCABSS 3 5/8 08/26/16;3.625;1;26/08/2011;;25/08/2014;1;26/08/2016;;0;0;0
XS0760245539;Autre;Corporate;7;;SCANIA;;poche_obligations;Obligations_credit;Obligations_credit;22/03/2016;22/03/2016;SCANIA 1 3/4 03/22/16;1.75;1;22/03/2013;;25/08/2014;1;22/03/2016;;0;0;0
XS0828736198;Autre;Corporate;7;;SCANIA;;poche_obligations;Obligations_credit;Obligations_credit;14/09/2017;14/09/2017;SCANIA 1 5/8 09/14/17;1.625;1;14/09/2013;;25/08/2014;1;14/09/2017;;0;0;0
FR0010359687;France;Finance;7;;SCOR;;poche_obligations;Obligations_credit;Obligations_credit;25/08/2087;28/07/2016;SCOR 6.154 07/29/49;6.154;1;28/07/2007;;25/08/2014;1;28/07/2016;Y;0;0;0
XS0997941199;Allemagne;Corporate;9;;K+S AG;;poche_obligations;Obligations_credit;Obligations_credit;06/12/2018;06/12/2018;SDFGR 3 1/8 12/06/18;3.125;1;06/12/2014;;25/08/2014;1;06/12/2018;;0;0;0
XS0337453202;Autre;Finance;11;;SKANDINAVISKA ENSKILDA;;poche_obligations;Obligations_credit;Obligations_credit;25/08/2087;21/12/2017;SEB 7.0922 12/29/49;7.0922;1;21/06/2008;;25/08/2014;1;21/12/2017;Y;0;0;0
XS0628653007;Autre;Finance;5;;SKANDINAVISKA ENSKILDA;;poche_obligations;Obligations_credit;Obligations_credit;19/05/2016;19/05/2016;SEB 3 3/4 05/19/16;3.75;1;19/05/2012;;25/08/2014;1;19/05/2016;;0;0;0
XS0730498143;Autre;Finance;5;;SKANDINAVISKA ENSKILDA;;poche_obligations;Obligations_credit;Obligations_credit;12/04/2017;12/04/2017;SEB 3 7/8 04/12/17;3.875;1;12/04/2013;;25/08/2014;1;12/04/2017;;0;0;0
XS0828014133;Autre;Finance;9;;SKANDINAVISKA ENSKILDA;;poche_obligations;Obligations_credit;Obligations_credit;12/09/2022;12/09/2017;SEB 4 09/12/22;4;1;12/09/2013;;25/08/2014;1;12/09/2017;Y;0;0;0
XS0854425625;Autre;Finance;5;;SKANDINAVISKA ENSKILDA;;poche_obligations;Obligations_credit;Obligations_credit;14/11/2019;14/11/2019;SEB 1 7/8 11/14/19;1.875;1;14/11/2013;;25/08/2014;1;14/11/2019;;0;0;0
XS0972089568;Autre;Finance;5;;SKANDINAVISKA ENSKILDA;;poche_obligations;Obligations_credit;Obligations_credit;18/03/2019;18/03/2019;SEB 2 03/18/19;2;1;18/03/2014;;25/08/2014;1;18/03/2019;;0;0;0
XS0751937185;Autre;Corporate;9;;SECURITAS;;poche_obligations;Obligations_credit;Obligations_credit;28/02/2017;28/02/2017;SECUSS 2 3/4 02/28/17;2.75;1;28/02/2013;;25/08/2014;1;28/02/2017;;0;0;0
XS0828724004;Autre;Corporate;9;;SECURITAS;;poche_obligations;Obligations_credit;Obligations_credit;14/03/2018;14/03/2018;SECUSS 2 1/4 03/14/18;2.25;1;14/03/2013;;25/08/2014;1;14/03/2018;;0;0;0
XS0984751254;Autre;Corporate;9;;SES GLOBAL AMERICAS HLDG;;poche_obligations;Obligations_credit;Obligations_credit;24/10/2018;24/10/2018;SESGFP 1 7/8 10/24/18;1.875;1;24/10/2014;;25/08/2014;1;24/10/2018;;0;0;0
FR0010745976;France;Corporate;5;;SUEZ ENVIRONNEMENT;;poche_obligations;Obligations_credit;Obligations_credit;08/04/2019;08/04/2019;SEVFP 6 1/4 04/08/19;6.25;1;08/04/2010;;25/08/2014;1;08/04/2019;;0;0;0
FR0010765859;France;Corporate;5;;SUEZ ENVIRONNEMENT;;poche_obligations;Obligations_credit;Obligations_credit;08/06/2017;08/06/2017;SEVFP 5.2 06/08/17;5.2;1;08/06/2010;;25/08/2014;1;08/06/2017;;0;0;0
FR0010333385;France;Corporate;9;;Saint-Gobain;;poche_obligations;Obligations_credit;Obligations_credit;31/05/2016;31/05/2016;SGOFP 4 7/8 05/31/16;4.875;1;31/05/2007;;25/08/2014;1;31/05/2016;;0;0;0
